Wavelength [nm]    	Intensity [counts]
344.911590576171875	-1792.4276123046875
345.129486083984375	-1792.4276123046875
345.34735107421875 	-1813.8433837890625
345.56524658203125 	-1866.312744140625
345.783111572265625	401.042510986328125
346.000946044921875	391.38482666015625
346.218780517578125	589.2967529296875
346.436614990234375	735.072509765625
346.654449462890625	681.94415283203125
346.87225341796875 	289.25054931640625
347.090057373046875	139.157440185546875
347.307861328125   	1209.6954345703125
347.525634765625   	579.697509765625
347.743408203125   	396.7506103515625
347.961181640625   	1459.4595947265625
348.178955078125   	950.99298095703125
348.396697998046875	779.63592529296875
348.614410400390625	592.49591064453125
348.8321533203125  	744.626708984375
349.04986572265625 	722.329345703125
349.267578125      	881.28045654296875
349.485260009765625	778.5755615234375
349.702972412109375	501.72900390625
349.920654296875   	1084.767822265625
350.1383056640625  	720.20501708984375
350.35595703125    	598.89324951171875
350.5736083984375  	338.749176025390625
350.791259765625   	638.3154296875
351.008880615234375	705.33099365234375
351.22650146484375 	503.86773681640625
351.444122314453125	612.749755859375
351.661712646484375	582.8975830078125
351.879302978515625	432.1407470703125
352.096893310546875	629.7957763671875
352.314453125      	575.43017578125
352.532012939453125	656.41241455078125
352.74957275390625 	669.18072509765625
352.96710205078125 	572.2293701171875
353.184661865234375	1017.41326904296875
353.40216064453125 	424.63720703125
353.61968994140625 	282.78802490234375
353.837188720703125	695.765625
354.0546875        	830.49505615234375
354.27215576171875 	1237.986083984375
354.4896240234375  	1000.55584716796875
354.70709228515625 	774.33380126953125
354.924560546875   	509.213836669921875
355.141998291015625	773.27325439453125
355.35943603515625 	762.666259765625
355.57684326171875 	829.43621826171875
355.794281005859375	949.937744140625
356.011688232421875	1243.2230224609375
356.22906494140625 	571.16229248046875
356.44647216796875 	560.49017333984375
356.663818359375   	992.124267578125
356.881195068359375	1163.5496826171875
357.098541259765625	591.4295654296875
357.315887451171875	516.69683837890625
357.533233642578125	1012.1461181640625
357.75054931640625 	658.54083251953125
357.967864990234375	899.2496337890625
358.1851806640625  	942.55010986328125
358.402496337890625	924.6025390625
358.619781494140625	1230.6533203125
358.8370361328125  	787.05755615234375
359.0543212890625  	453.569305419921875
359.271575927734375	337.674041748046875
359.48883056640625 	625.53509521484375
359.7060546875     	720.20501708984375
359.92327880859375 	948.8824462890625
360.1405029296875  	811.43157958984375
360.357696533203125	873.8787841796875
360.574920654296875	764.78790283203125
360.792083740234375	707.456298828125
361.00927734375    	800.83624267578125
361.2264404296875  	980.52777099609375
361.443603515625   	835.78857421875
361.6607666015625  	702.142822265625
361.877899169921875	935.16094970703125
362.09503173828125 	719.142822265625
362.3121337890625  	736.13421630859375
362.52923583984375 	605.289306640625
362.746337890625   	1131.0057373046875
362.96343994140625 	491.0333251953125
363.180511474609375	426.78125
363.3975830078125  	711.70635986328125
363.614654541015625	1526.0999755859375
363.831695556640625	514.55902099609375
364.048736572265625	268.780853271484375
364.2657470703125  	943.6055908203125
364.4827880859375  	1213.887939453125
364.699798583984375	592.49591064453125
364.916778564453125	252.6103057861328125
365.1337890625     	859.07080078125
365.35076904296875 	721.2672119140625
365.567718505859375	1280.90869140625
365.784698486328125	736.13421630859375
366.00164794921875 	335.5235595703125
366.21856689453125 	587.16387939453125
366.435516357421875	812.490966796875
366.652435302734375	731.88720703125
366.86932373046875 	566.8939208984375
367.08624267578125 	1302.876220703125
367.303131103515625	333.372955322265625
367.52001953125    	757.3614501953125
367.73687744140625 	809.31280517578125
367.9537353515625  	1126.804443359375
368.17059326171875 	696.82861328125
368.387420654296875	921.43438720703125
368.604248046875   	776.45477294921875
368.821075439453125	901.363037109375
369.037872314453125	609.5526123046875
369.254669189453125	987.9078369140625
369.471466064453125	391.38482666015625
369.688262939453125	1591.604736328125
369.905029296875   	1175.0911865234375
370.12176513671875 	727.63958740234375
370.338531494140625	685.13421630859375
370.555267333984375	506.00628662109375
370.772003173828125	515.6279296875
370.98870849609375 	1116.299560546875
371.205413818359375	610.61834716796875
371.422119140625   	1037.4215087890625
371.638824462890625	570.09527587890625
371.855499267578125	1119.451416015625
372.0721435546875  	626.600341796875
372.288818359375   	532.725830078125
372.505462646484375	1431.316162109375
372.72210693359375 	341.974456787109375
372.938720703125   	660.6690673828125
373.155364990234375	1428.1878662109375
