Wavelength [nm]    	Intensity [counts]
344.911590576171875	-1705.4661865234375
345.129486083984375	-1705.4661865234375
345.34735107421875 	-1723.2164306640625
345.56524658203125 	-1731.5064697265625
345.783111572265625	524.534423828125
346.000946044921875	537.3551025390625
346.218780517578125	435.71337890625
346.436614990234375	609.90802001953125
346.654449462890625	876.34637451171875
346.87225341796875 	357.379425048828125
347.090057373046875	63.62548065185546875
347.307861328125   	1006.17596435546875
347.525634765625   	562.9808349609375
347.743408203125   	227.078369140625
347.961181640625   	1316.8179931640625
348.178955078125   	768.32391357421875
348.396697998046875	843.55120849609375
348.614410400390625	600.31488037109375
348.8321533203125  	649.31689453125
349.04986572265625 	555.5087890625
349.267578125      	667.4078369140625
349.485260009765625	593.9178466796875
349.702972412109375	411.0548095703125
349.920654296875   	955.5655517578125
350.1383056640625  	811.78485107421875
350.35595703125    	556.57635498046875
350.5736083984375  	364.899810791015625
350.791259765625   	502.085662841796875
351.008880615234375	758.7763671875
351.22650146484375 	506.36285400390625
351.444122314453125	533.0821533203125
351.661712646484375	534.15045166015625
351.879302978515625	435.71337890625
352.096893310546875	529.87701416015625
352.314453125      	502.085662841796875
352.532012939453125	574.71905517578125
352.74957275390625 	512.777587890625
352.96710205078125 	487.11083984375
353.184661865234375	980.87939453125
353.40216064453125 	186.03497314453125
353.61968994140625 	259.439178466796875
353.837188720703125	599.248779296875
354.0546875        	700.3717041015625
354.27215576171875 	1190.1251220703125
354.4896240234375  	1043.0362548828125
354.70709228515625 	861.5394287109375
354.924560546875   	378.86114501953125
355.141998291015625	621.629150390625
355.35943603515625 	628.020751953125
355.57684326171875 	801.18963623046875
355.794281005859375	947.123779296875
356.011688232421875	1169.1461181640625
356.22906494140625 	703.55999755859375
356.44647216796875 	469.9879150390625
356.663818359375   	928.12249755859375
356.881195068359375	1120.852294921875
357.098541259765625	542.69549560546875
357.315887451171875	589.6524658203125
357.533233642578125	1003.01483154296875
357.75054931640625 	520.25970458984375
357.967864990234375	932.3458251953125
358.1851806640625  	905.94183349609375
358.402496337890625	932.3458251953125
358.619781494140625	1127.15478515625
358.8370361328125  	958.73077392578125
359.0543212890625  	338.0325927734375
359.271575927734375	330.505401611328125
359.48883056640625 	489.25054931640625
359.7060546875     	618.43292236328125
359.92327880859375 	913.3369140625
360.1405029296875  	645.058837890625
360.357696533203125	763.02001953125
360.574920654296875	803.3089599609375
360.792083740234375	698.2459716796875
361.00927734375    	685.48883056640625
361.2264404296875  	731.179443359375
361.443603515625   	739.67315673828125
361.6607666015625  	623.7598876953125
361.877899169921875	841.43438720703125
362.09503173828125 	770.44525146484375
362.3121337890625  	768.32391357421875
362.52923583984375 	592.8515625
362.746337890625   	1069.343017578125
362.96343994140625 	308.988494873046875
363.180511474609375	407.837005615234375
363.3975830078125  	705.6854248046875
363.614654541015625	1471.267822265625
363.831695556640625	343.407989501953125
364.048736572265625	324.052001953125
364.2657470703125  	1005.12225341796875
364.4827880859375  	1105.0914306640625
364.699798583984375	675.917724609375
364.916778564453125	144.9314117431640625
365.1337890625     	701.43450927734375
365.35076904296875 	763.02001953125
365.567718505859375	1063.031005859375
365.784698486328125	647.18792724609375
366.00164794921875 	139.518524169921875
366.21856689453125 	450.713226318359375
366.435516357421875	772.56640625
366.652435302734375	843.55120849609375
366.86932373046875 	501.016265869140625
367.08624267578125 	1327.271240234375
367.303131103515625	398.181488037109375
367.52001953125    	482.83099365234375
367.73687744140625 	931.2900390625
367.9537353515625  	971.3887939453125
368.17059326171875 	723.74566650390625
368.387420654296875	1051.4564208984375
368.604248046875   	693.994140625
368.821075439453125	959.7857666015625
369.037872314453125	389.59619140625
369.254669189453125	894.3179931640625
369.471466064453125	216.2832489013671875
369.688262939453125	1494.1805419921875
369.905029296875   	1206.900390625
370.12176513671875 	836.14166259765625
370.338531494140625	672.726806640625
370.555267333984375	523.4658203125
370.772003173828125	480.69085693359375
370.98870849609375 	1183.83251953125
371.205413818359375	542.69549560546875
371.422119140625   	890.09014892578125
371.638824462890625	437.856689453125
371.855499267578125	1263.466064453125
372.0721435546875  	574.71905517578125
372.288818359375   	482.83099365234375
372.505462646484375	1454.5968017578125
372.72210693359375 	364.899810791015625
372.938720703125   	705.6854248046875
373.155364990234375	1281.2576904296875
373.3719482421875  	512.777587890625
373.58856201171875 	752.4097900390625
373.805145263671875	558.7113037109375
374.021728515625   	727.99371337890625
374.23828125       	287.455718994140625
374.454833984375   	836.14166259765625
